from_node,to_node,from_x,from_y,to_x,to_y,is_in_tour
0,1,772,140,2901,957,0
0,2,772,140,2029,2909,0
0,3,772,140,2212,1367,0
0,4,772,140,2592,705,0
0,5,772,140,1257,1188,0
0,6,772,140,631,381,0
0,7,772,140,1149,1760,0
0,8,772,140,1326,1392,0
0,9,772,140,2306,2172,0
0,10,772,140,1042,2723,0
0,11,772,140,1043,1861,0
0,12,772,140,2240,1995,0
0,13,772,140,142,203,0
0,14,772,140,1783,2239,0
0,15,772,140,2258,2842,0
0,16,772,140,173,2667,0
0,17,772,140,375,1499,0
0,18,772,140,2121,746,0
0,19,772,140,1529,1398,0
0,20,772,140,2407,1818,0
0,21,772,140,2785,2178,0
0,22,772,140,1134,2554,0
0,23,772,140,131,1351,0
0,24,772,140,37,1389,0
0,25,772,140,1430,2391,0
0,26,772,140,1017,1448,0
0,27,772,140,1742,1468,0
0,28,772,140,304,1339,0
0,29,772,140,2714,2303,0
0,30,772,140,2404,1459,0
0,31,772,140,2528,72,0
0,32,772,140,1786,1926,0
0,33,772,140,1459,1154,0
0,34,772,140,71,2490,0
0,35,772,140,739,2234,0
0,36,772,140,1710,737,0
0,37,772,140,505,553,0
0,38,772,140,1456,1913,0
0,39,772,140,890,2851,0
0,40,772,140,1408,805,0
0,41,772,140,328,1482,0
0,42,772,140,2127,954,0
0,43,772,140,1036,2868,0
0,44,772,140,1358,955,1
0,45,772,140,2271,2430,0
0,46,772,140,2087,2335,0
0,47,772,140,1980,1794,0
0,48,772,140,596,1949,0
0,49,772,140,345,1670,0
0,50,772,140,2780,587,0
0,51,772,140,647,1509,0
0,52,772,140,1628,1239,0
0,53,772,140,1521,1380,0
0,54,772,140,2836,270,0
1,0,2901,957,772,140,0
1,2,2901,957,2029,2909,0
1,3,2901,957,2212,1367,1
1,4,2901,957,2592,705,0
1,5,2901,957,1257,1188,0
1,6,2901,957,631,381,0
1,7,2901,957,1149,1760,0
1,8,2901,957,1326,1392,0
1,9,2901,957,2306,2172,0
1,10,2901,957,1042,2723,0
1,11,2901,957,1043,1861,0
1,12,2901,957,2240,1995,0
1,13,2901,957,142,203,0
1,14,2901,957,1783,2239,0
1,15,2901,957,2258,2842,0
1,16,2901,957,173,2667,0
1,17,2901,957,375,1499,0
1,18,2901,957,2121,746,0
1,19,2901,957,1529,1398,0
1,20,2901,957,2407,1818,0
1,21,2901,957,2785,2178,0
1,22,2901,957,1134,2554,0
1,23,2901,957,131,1351,0
1,24,2901,957,37,1389,0
1,25,2901,957,1430,2391,0
1,26,2901,957,1017,1448,0
1,27,2901,957,1742,1468,0
1,28,2901,957,304,1339,0
1,29,2901,957,2714,2303,0
1,30,2901,957,2404,1459,0
1,31,2901,957,2528,72,0
1,32,2901,957,1786,1926,0
1,33,2901,957,1459,1154,0
1,34,2901,957,71,2490,0
1,35,2901,957,739,2234,0
1,36,2901,957,1710,737,0
1,37,2901,957,505,553,0
1,38,2901,957,1456,1913,0
1,39,2901,957,890,2851,0
1,40,2901,957,1408,805,0
1,41,2901,957,328,1482,0
1,42,2901,957,2127,954,0
1,43,2901,957,1036,2868,0
1,44,2901,957,1358,955,0
1,45,2901,957,2271,2430,0
1,46,2901,957,2087,2335,0
1,47,2901,957,1980,1794,0
1,48,2901,957,596,1949,0
1,49,2901,957,345,1670,0
1,50,2901,957,2780,587,0
1,51,2901,957,647,1509,0
1,52,2901,957,1628,1239,0
1,53,2901,957,1521,1380,0
1,54,2901,957,2836,270,0
2,0,2029,2909,772,140,0
2,1,2029,2909,2901,957,0
2,3,2029,2909,2212,1367,0
2,4,2029,2909,2592,705,0
2,5,2029,2909,1257,1188,0
2,6,2029,2909,631,381,0
2,7,2029,2909,1149,1760,0
2,8,2029,2909,1326,1392,0
2,9,2029,2909,2306,2172,0
2,10,2029,2909,1042,2723,0
2,11,2029,2909,1043,1861,0
2,12,2029,2909,2240,1995,0
2,13,2029,2909,142,203,0
2,14,2029,2909,1783,2239,0
2,15,2029,2909,2258,2842,0
2,16,2029,2909,173,2667,0
2,17,2029,2909,375,1499,0
2,18,2029,2909,2121,746,0
2,19,2029,2909,1529,1398,0
2,20,2029,2909,2407,1818,0
2,21,2029,2909,2785,2178,0
2,22,2029,2909,1134,2554,0
2,23,2029,2909,131,1351,0
2,24,2029,2909,37,1389,0
2,25,2029,2909,1430,2391,0
2,26,2029,2909,1017,1448,0
2,27,2029,2909,1742,1468,0
2,28,2029,2909,304,1339,0
2,29,2029,2909,2714,2303,0
2,30,2029,2909,2404,1459,0
2,31,2029,2909,2528,72,0
2,32,2029,2909,1786,1926,0
2,33,2029,2909,1459,1154,0
2,34,2029,2909,71,2490,0
2,35,2029,2909,739,2234,0
2,36,2029,2909,1710,737,0
2,37,2029,2909,505,553,0
2,38,2029,2909,1456,1913,0
2,39,2029,2909,890,2851,0
2,40,2029,2909,1408,805,0
2,41,2029,2909,328,1482,0
2,42,2029,2909,2127,954,0
2,43,2029,2909,1036,2868,0
2,44,2029,2909,1358,955,0
2,45,2029,2909,2271,2430,0
2,46,2029,2909,2087,2335,1
2,47,2029,2909,1980,1794,0
2,48,2029,2909,596,1949,0
2,49,2029,2909,345,1670,0
2,50,2029,2909,2780,587,0
2,51,2029,2909,647,1509,0
2,52,2029,2909,1628,1239,0
2,53,2029,2909,1521,1380,0
2,54,2029,2909,2836,270,0
3,0,2212,1367,772,140,0
3,1,2212,1367,2901,957,0
3,2,2212,1367,2029,2909,0
3,4,2212,1367,2592,705,0
3,5,2212,1367,1257,1188,0
3,6,2212,1367,631,381,0
3,7,2212,1367,1149,1760,0
3,8,2212,1367,1326,1392,0
3,9,2212,1367,2306,2172,0
3,10,2212,1367,1042,2723,0
3,11,2212,1367,1043,1861,0
3,12,2212,1367,2240,1995,0
3,13,2212,1367,142,203,0
3,14,2212,1367,1783,2239,0
3,15,2212,1367,2258,2842,0
3,16,2212,1367,173,2667,0
3,17,2212,1367,375,1499,0
3,18,2212,1367,2121,746,0
3,19,2212,1367,1529,1398,0
3,20,2212,1367,2407,1818,0
3,21,2212,1367,2785,2178,0
3,22,2212,1367,1134,2554,0
3,23,2212,1367,131,1351,0
3,24,2212,1367,37,1389,0
3,25,2212,1367,1430,2391,0
3,26,2212,1367,1017,1448,0
3,27,2212,1367,1742,1468,0
3,28,2212,1367,304,1339,0
3,29,2212,1367,2714,2303,0
3,30,2212,1367,2404,1459,1
3,31,2212,1367,2528,72,0
3,32,2212,1367,1786,1926,0
3,33,2212,1367,1459,1154,0
3,34,2212,1367,71,2490,0
3,35,2212,1367,739,2234,0
3,36,2212,1367,1710,737,0
3,37,2212,1367,505,553,0
3,38,2212,1367,1456,1913,0
3,39,2212,1367,890,2851,0
3,40,2212,1367,1408,805,0
3,41,2212,1367,328,1482,0
3,42,2212,1367,2127,954,0
3,43,2212,1367,1036,2868,0
3,44,2212,1367,1358,955,0
3,45,2212,1367,2271,2430,0
3,46,2212,1367,2087,2335,0
3,47,2212,1367,1980,1794,0
3,48,2212,1367,596,1949,0
3,49,2212,1367,345,1670,0
3,50,2212,1367,2780,587,0
3,51,2212,1367,647,1509,0
